Job_Title,Job_Company,Job_Location,Job_Salary,Job_Description,Job_Email,Job_PostedDate,Job_Link
Data Engineer/Python data Engineer,Effone software inc,Remote,$48.00 - $55.00 Per Hour (Employer est.),"Python Data Engineer About: We are looking for a data engineer with experience in developing pipelines in Python and GCP Project Duration: Long Term: 12 to 24 months Location: USA Remote 100%; Must be available during East Coast hours. Skills: • The following are required skills: o GCP
o Big Data
o Big Query
o Dataflow
o Must have proficiency in Python building pipelines.
o Strong knowledge of SQL and one or more databases such as Oracle, SQL Server, MySQL, or Postgres is required.
Show more",N/A,24h,"https://www.glassdoor.com/job-listing/data-engineer-python-data-engineer-effone-software-inc-JV_KO0,34_KE35,54.htm?jl=1009441871725"
Data Engineer,CGT Staffing,,,"The Data Engineer is responsible for building, maintaining, and ensuring data production pipelines run smoothly. This role will monitor data pipelines for our data analytics platform, proactively diagnose and resolve issues, enhance pipeline components as needed, and develop support tools to enable non-technical support staff to troubleshoot common issues over time. In addition, this role will implement methods to improve data reliability and quality as well as develop and test architectures that enable data extraction and transformation for predictive or prescriptive modeling. This role may perform these duties in Cloud, non-Cloud, and hybrid environments.
Essential Duties & Responsibilities
Analyze and organize raw data sets to meet both functional and non-functional requirements
Show more",N/A,24h,"https://www.glassdoor.com/job-listing/data-engineer-cgt-staffing-JV_KO0,13_KE14,26.htm?jl=1009441036911"
Data Platform Engineer,Owner,Remote,$153K - $175K (Employer est.),"About Owner.com

Owner is the all-in-one platform that restaurants use to succeed online.

Thousands of restaurant owners use our tools to build their website, drive online orders, create their own branded app, manage their customer relationships, and set up marketing automations.

You can think of it as Shopify meets HubSpot, but specifically for restaurants.

Learn more about the problems we are solving for our customers here.















Show more",N/A,5d,"https://www.glassdoor.com/job-listing/data-platform-engineer-owner-JV_KO0,22_KE23,28.htm?jl=1009436151817"
Ld Data Engineer-I,Progressive Technology Solutions,"Baltimore, MD",$67.00 - $72.00 Per Hour (Employer est.),"Title: Ld Data Engineer
Contract: 9 Months
Location: Remote in DMV areas
Job Description:
Qualifications
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable
accommodations may be made to enable individuals with disabilities to perform the essential functions.
Education Level: Bachelor's Degree
Education Details: Computer Science, Information Technology or Engineering or related field
Experience: 8 years Experience in leading data engineering and cross functional team to implement scalable and fine tuned ETL/ELT solutions for optimal performance. Experience developing and updating ETL/ELT scripts. Hands-on experience with application development, relational database layout, development, data modeling.
In Lieu of Education
In lieu of a Bachelor's degree, an additional 4 years of relevant work experience is required in addition to the required work experience.
Show more",N/A,24h,"https://www.glassdoor.com/job-listing/ld-data-engineer-i-progressive-technology-solutions-JV_IC1153527_KO0,18_KE19,51.htm?jl=1009441199376"
Sr. Data Engineer (US),Craft.co,United States,$160K (Employer est.),"About the Role:

Craft is looking for an experienced and motivated Senior Data Engineer to join our team. At Craft, you will be a core member of one of our feature teams, building data products and solutions that drives our innovation in Supply Chain Risk Management.

At Craft, we give our engineers a lot of responsibility, autonomy, and ownership of their domain areas. This is matched by our investment in your growth and development, both in working with smart and experienced colleagues and in taking advantage of hackathons, conferences, and our internal tech chapters. We are growing quickly, and the only limits to your future growth with Craft are your interests and abilities!







Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/sr-data-engineer-us-craft-co-JV_KO0,19_KE20,28.htm?jl=1009373451605"
Cloud Data Engineer,BigR.io,Remote,$140K - $150K (Employer est.),"Job Title: Cloud Data Engineer- Azure and DataBricks
Location: Remote
Duration: 3 months Contract to hire- East Coast hours
About BigRio: BigRio is a remote-based, technology consulting firm headquartered in Boston, MA. We deliver solutions ranging from custom development, software implementation, data analytics, and machine learning/AI integrations. We are a one-stop shop that attracts clients from various industries because of our proven ability to deliver cutting-edge and cost-conscious software solutions.
With extensive domain knowledge, BigRio has teams of data architects, data engineers, software engineers, web developers, and consultants who deliver best-in-class solutions across a variety of verticals. Our diverse industry exposure equips us with invaluable tools, tricks, and techniques to tackle complex software and data challenges.























Show more",N/A,24h,"https://www.glassdoor.com/job-listing/cloud-data-engineer-bigr-io-JV_KO0,19_KE20,27.htm?jl=1009441489727"
Data Platform Software Engineer,Muon Space,"Mountain View, CA",$95K - $195K (Employer est.),"About the role
Muon Space is building an expert team that is designing and generating value-added products from Earth observations from Muon's constellation of low Earth orbit satellites and other geospatial datasets. The Data Platform Software Engineer will be a key player on the Muon Data Platform Team to support the development and operations of a reliable software container platform for hosting data and machine learning pipelines. This role will collaborate closely with data and software engineers and geospatial, scientific, and machine learning product developers to incorporate scalable cloud resources and modern software engineering practices into Muon's product development process in order to meet Muon's goals in monitoring and addressing climate change.

Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/data-platform-software-engineer-muon-space-JV_IC1147431_KO0,31_KE32,42.htm?jl=1009375978807"
Data Quality Engineer,CTEC Corp.,Remote,$100K (Employer est.),"Cybermedia Technologies (CTEC) www.ctec-corp.com is a CMMI Level III company that has provided technology and management solutions to commercial and government clients across the USA for 20 years. We are currently looking for a Data Quality Engineer to join our team.
Duties and Responsibilities:
· Analyzes and tests relevant datasets for client business needs, and reports findings.
· Leverages innovative models for data analysis and testing.
· Analyzes data for trends and patterns, and interprets data with clear objectives.
· Utilizes algorithms and models to analyze data stores.
· Performs data and error analysis to improve models.
· Validates data for uniformity and accuracy.
Show more",N/A,4d,"https://www.glassdoor.com/job-listing/data-quality-engineer-ctec-corp-JV_KO0,21_KE22,31.htm?jl=1009437362208"
Data Governance Engineer (2_2024.1),Affinity Solutions,"New York, NY",$120K - $140K (Employer est.),"Affinity Solutions (Affinity) is the leading consumer purchase insights company. We provide a complete view of U.S. and U.K. consumer spending, across and between brands, via exclusive access to fully permissioned data from over 140 million debit and credit cards. This data is transformed into privacy-compliant, actionable intelligence for marketers, consultancies, and financial services companies to drive strategic growth and lasting customer relationships. Visit us at www.affinitysolutions.com to discover how we're shaping the future of consumer purchase insights.
About Your Role:
As a Data Governance Engineer, your primary responsibility will be to ensure the integrity, quality, and security of an organization's data assets. You will collaborate with various stakeholders, including data analysts, data scientists, data engineers, and business leaders, to establish and enforce data governance policies, procedures, and best practices.
Show more",N/A,4d,"https://www.glassdoor.com/job-listing/data-governance-engineer-2-2024-1-affinity-solutions-JV_IC1132348_KO0,33_KE34,52.htm?jl=1009437877660"
Security Data Loss Prevention Engineer,Creative Global Consulting,Remote,$60.00 - $65.00 Per Hour (Employer est.),"Security Data Loss Prevention Engineer
Client: TriWest
POP: 12+ months
Location: Remote
US Citizen
REQUIRED SKILLS
Bachelor’s Degree + minimum 7 years of work experience with information security response, threat intelligence, digital forensics or comparable, professional experience.
DoD Approved 8570 certification REQUIRED
5+ years of ForcePoint DLP Engineering / administration experience
Show more",N/A,12d,"https://www.glassdoor.com/job-listing/security-data-loss-prevention-engineer-creative-global-consulting-JV_KO0,38_KE39,65.htm?jl=1009425197892"
